Date	SWISS CONFEDERATION BOND 10 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 1 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 15 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 2 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 20 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 3 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 30 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 4 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 5 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 6 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 7 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 8 YEAR - RED. YIELD	SWISS CONFEDERATION BOND 9 YEAR - RED. YIELD
1988-06-30	4.155	3.642	4.298	3.707	4.38	3.764	NA	3.83	3.897	3.96	4.017	4.069	4.115
1988-07-29	4.222	4.161	4.225	4.195	4.226	4.206	NA	4.212	4.215	4.218	4.219	4.221	4.222
1988-08-31	4.292	4.044	4.432	3.959	4.498	3.943	NA	3.981	4.037	4.096	4.153	4.204	4.251
1988-09-30	4.257	3.814	4.339	3.798	4.381	3.871	NA	3.962	4.041	4.105	4.156	4.197	4.23
1988-10-31	4.014	4.108	4.186	4.157	4.406	4.089	NA	4.025	3.986	3.967	3.965	3.974	3.991
1988-11-30	4.042	4.506	4.222	4.29	4.387	4.144	NA	4.054	4.003	3.981	3.979	3.991	4.013
1988-12-30	4.107	4.691	4.254	4.425	4.374	4.24	NA	4.131	4.074	4.05	4.048	4.06	4.081
1989-01-31	4.517	5.651	4.472	5.14	4.45	4.862	NA	4.727	4.653	4.606	4.574	4.55	4.531
1989-02-28	4.719	6.079	4.65	5.522	4.615	5.202	NA	5.03	4.926	4.857	4.808	4.771	4.742
1989-03-31	4.798	5.993	4.746	5.473	4.72	5.179	NA	5.035	4.954	4.901	4.864	4.836	4.815
1989-04-28	5.054	6.443	5.058	5.845	5.061	5.439	NA	5.231	5.132	5.086	5.066	5.058	5.055
1989-05-31	5.242	7.446	5.176	6.476	5.143	5.926	NA	5.639	5.483	5.392	5.334	5.294	5.265
1989-06-30	5.105	6.922	5.186	6.019	5.229	5.455	NA	5.178	5.066	5.035	5.041	5.06	5.083
1989-07-31	5.173	6.397	5.208	5.618	5.226	5.273	NA	5.153	5.123	5.125	5.136	5.15	5.162
1989-08-31	5.195	7.07	5.241	6.145	5.265	5.567	NA	5.297	5.19	5.159	5.158	5.168	5.182
1989-09-29	5.311	7.606	5.323	6.648	5.331	5.979	NA	5.625	5.451	5.37	5.332	5.317	5.312
1989-10-31	5.31	7.534	5.233	6.571	5.195	6.029	NA	5.743	5.581	5.482	5.417	5.371	5.337
1989-11-30	5.437	7.456	5.396	6.45	5.376	5.92	NA	5.689	5.582	5.526	5.491	5.468	5.45
1989-12-29	5.618	8.069	5.577	6.736	5.556	6.128	NA	5.875	5.764	5.707	5.673	5.649	5.632
1990-01-31	6.04	9.093	5.991	7.649	5.967	6.841	NA	6.456	6.269	6.172	6.117	6.082	6.058
1990-02-28	6.292	8.788	6.15	7.785	6.079	7.236	NA	6.918	6.714	6.575	6.474	6.398	6.339
1990-03-30	6.475	8.683	6.405	7.734	6.37	7.163	NA	6.871	6.717	6.627	6.57	6.529	6.499
1990-04-30	6.629	8.971	6.622	7.831	6.619	7.182	NA	6.881	6.745	6.683	6.655	6.641	6.633
1990-05-31	6.3	8.014	6.285	6.923	6.277	6.531	NA	6.402	6.355	6.333	6.321	6.312	6.305
1990-06-29	6.147	8.123	6.119	6.988	6.105	6.508	NA	6.323	6.246	6.208	6.184	6.168	6.156
1990-07-31	6.078	8.263	6.093	6.931	6.1	6.347	NA	6.143	6.08	6.065	6.065	6.069	6.074
1990-08-31	6.484	8.321	6.483	7.38	6.484	6.885	NA	6.665	6.566	6.52	6.5	6.49	6.486
1990-09-28	6.509	7.952	6.497	7.071	6.491	6.717	NA	6.598	6.555	6.536	6.525	6.518	6.513
1990-10-31	6.491	7.796	6.472	6.983	6.463	6.695	NA	6.595	6.553	6.531	6.516	6.506	6.498
1990-11-30	6.563	8.36	6.527	7.363	6.51	6.923	NA	6.753	6.677	6.635	6.609	6.589	6.574
1990-12-31	6.601	8.152	6.615	7.358	6.623	6.927	NA	6.728	6.643	6.609	6.598	6.596	6.598
1991-01-31	6.415	7.755	6.43	6.952	6.438	6.574	NA	6.44	6.402	6.395	6.399	6.404	6.41
1991-02-28	6.221	7.66	6.231	6.925	6.237	6.534	NA	6.352	6.271	6.236	6.223	6.219	6.219
1991-03-29	6.155	7.629	6.153	6.702	6.152	6.355	NA	6.231	6.185	6.167	6.16	6.157	6.156
1991-04-30	6.016	7.81	5.979	6.851	5.961	6.424	NA	6.237	6.146	6.096	6.065	6.044	6.028
1991-05-31	5.813	7.544	5.829	6.61	5.838	6.129	NA	5.925	5.844	5.814	5.806	5.806	5.809
1991-06-28	5.971	7.644	6	6.753	6.015	6.25	NA	6.039	5.964	5.945	5.946	5.954	5.963
1991-07-31	5.996	7.451	5.959	6.695	5.941	6.36	NA	6.204	6.123	6.076	6.045	6.024	6.008
1991-08-30	6.107	7.501	6.06	6.775	6.036	6.463	NA	6.324	6.248	6.2	6.167	6.142	6.122
1991-09-30	6.198	7.39	6.164	6.661	6.146	6.445	NA	6.353	6.301	6.266	6.242	6.223	6.209
1991-10-31	6.698	7.839	6.541	7.26	6.384	7.048	NA	6.944	6.88	6.834	6.795	6.761	6.729
1991-11-29	6.637	7.636	6.658	7.056	6.67	6.809	NA	6.701	6.653	6.634	6.629	6.629	6.633
1991-12-31	6.37	7.415	6.378	6.578	6.382	6.379	NA	6.349	6.35	6.356	6.361	6.365	6.368
1992-01-31	6.175	7.22	6.201	6.627	6.214	6.304	NA	6.179	6.143	6.14	6.147	6.157	6.167
1992-02-28	6.132	7.242	6.11	6.697	6.099	6.419	NA	6.288	6.222	6.186	6.164	6.15	6.14
1992-03-31	6.676	7.917	6.733	6.938	6.762	6.608	NA	6.536	6.546	6.576	6.608	6.635	6.658
1992-04-30	6.545	8.104	6.517	7.228	6.503	6.854	NA	6.705	6.639	6.604	6.581	6.566	6.554
1992-05-29	6.861	8.494	6.906	7.522	6.93	7.071	NA	6.89	6.828	6.815	6.821	6.834	6.848
1992-06-30	6.924	8.513	6.885	7.622	6.865	7.27	NA	7.122	7.048	7.004	6.975	6.953	6.937
1992-07-31	6.867	8.322	6.807	7.65	6.778	7.31	NA	7.143	7.048	6.987	6.944	6.912	6.887
1992-08-31	6.854	7.7	6.838	7.292	6.83	7.061	NA	6.959	6.913	6.889	6.875	6.866	6.859
1992-09-30	6.292	6.959	6.312	6.779	6.33	6.606	NA	6.478	6.393	6.341	6.312	6.298	6.292
1992-10-30	6.092	5.95	6.062	5.821	5.851	5.791	NA	5.816	5.865	5.923	5.979	6.028	6.065
1992-11-30	6.063	6.064	5.961	5.887	5.762	5.845	NA	5.867	5.913	5.963	6.006	6.038	6.056
1992-12-31	5.68	5.797	5.663	5.529	5.526	5.433	NA	5.428	5.466	5.519	5.573	5.619	5.655
1993-01-29	5.539	5.139	5.549	5.114	5.36	5.14	NA	5.195	5.263	5.333	5.399	5.456	5.503
1993-02-26	4.907	4.894	4.895	4.785	4.888	4.826	NA	4.872	4.899	4.911	4.914	4.913	4.91
1993-03-31	4.688	4.509	4.733	4.444	4.756	4.475	NA	4.522	4.566	4.602	4.631	4.654	4.673
1993-04-30	4.845	4.47	4.936	4.267	4.981	4.346	NA	4.473	4.582	4.666	4.729	4.777	4.815
1993-05-31	4.846	4.626	4.985	4.257	5.054	4.239	NA	4.348	4.474	4.584	4.673	4.743	4.8
