Date	ABB	Actelion	Adecco	Alcon	Alusuisse	Baloise	Ciba_SC	Ciba_Geigy_I	Ciba_Geigy_PS	Clariant	Compagnie_Financiere_Richemont	Credit_Suisse_Group	Credit_Suisse_Holding	Elektrowatt	EMS_Chemie_Holding	Geberit	Georg_Fischer	Givaudan	Holcim	Jacobs_Suchard	Julius_Baer_Group	Kudelski	LafargeHolcim	Lonza_Group	Merck_Serono	Nestle_I	Nestle_PS	Nobel_Biocare_Holding	Novartis_I	Novartis_N	OC_Oerlikon_Corporation	Pargesa_Holding	Partners_Group	Roche_Holding	Sairgroup	Sandoz_PS	Sandoz_N	Schweizerische_Volksbank_StN	Schweizerische_Volksbank_ST	SGS	Sika	Societe_Internationale_Pirelli	Sulzer	Swiss_Bank_I	Swiss_Bank_PS	Swiss_Bank_N	Swiss_Life_Holding_I	Swiss_Life_Holding_N	Swiss.Re	Swissair	Swisscom	Syngenta	Synthes	The_Swatch_Group_I	The_Swatch_Group_N	Transocean	UBS_N	UBS_PS	UBS_I	Winterthur	Zurich_Insurance_Group_I	Zurich_Insurance_Group_N
1988-06-30	2396.66	NA	842.5	NA	NA	NA	NA	2539.11	5443.6	NA	NA	NA	7749.39	1989	NA	NA	NA	NA	1160.85	3037.65	NA	NA	NA	NA	NA	9120.5	9375.67	NA	NA	NA	324.75	1526.75	NA	7304.75	NA	972	NA	332.1	NA	NA	NA	769.03	NA	4857.13	2286.07	NA	NA	NA	2404	613.12	NA	NA	NA	NA	NA	NA	NA	936.45	10256.78	1437.75	2102.4	NA
1988-07-29	2255.68	NA	850	NA	NA	NA	NA	2467.95	5373.36	NA	NA	NA	7810.65	1972.42	NA	NA	NA	NA	1149.95	2964.5	NA	NA	NA	NA	NA	8927.36	9152.96	NA	NA	NA	306.56	1546.45	NA	7411.5	NA	1022.62	NA	325.95	NA	NA	NA	748.72	NA	5258.44	2340.87	NA	NA	NA	2416	645.82	NA	NA	NA	NA	NA	NA	NA	965.58	10883.4	1464.75	2088	NA
1988-08-31	2285.89	NA	877.5	NA	NA	NA	NA	2464.21	5619.2	NA	NA	NA	7657.5	1922.7	NA	NA	NA	NA	1144.5	2887.5	NA	NA	NA	NA	NA	8921.99	9420.21	NA	NA	NA	370.21	1576	NA	7274.25	NA	994.27	NA	323.9	NA	NA	NA	734.21	NA	4940.16	2278.24	NA	NA	NA	2440	621.3	NA	NA	NA	NA	NA	NA	NA	944.77	10487.64	1410.75	1971	NA
1988-09-30	2502.39	NA	927	NA	NA	NA	NA	2539.11	5829.92	NA	NA	NA	8193.52	1876.29	NA	NA	78.87	NA	1155.4	2983.75	NA	NA	NA	NA	NA	9388.75	9442.48	NA	NA	NA	402.69	1669.57	NA	7808	NA	1000.35	NA	319.8	NA	NA	NA	716.79	NA	5189.25	2372.19	NA	NA	NA	2460	632.2	NA	NA	NA	NA	NA	NA	NA	953.1	10734.99	1518.75	2052	NA
1988-10-31	2683.65	NA	950	NA	NA	NA	NA	2602.77	6286.48	NA	NA	NA	8821.44	1962.48	NA	NA	76.89	NA	1172.84	2956.8	NA	NA	NA	NA	NA	9538.97	9743.12	NA	NA	NA	393.6	1595.7	NA	7747	NA	996.3	NA	NA	NA	NA	NA	774.83	NA	5410.66	2450.48	NA	NA	NA	2544	645.82	NA	NA	NA	NA	NA	NA	NA	1023.85	11345.12	1503.9	2106	NA
1988-11-30	2789.39	NA	934.5	NA	NA	NA	NA	2029.79	7094.24	NA	NA	NA	8239.46	1843.14	NA	NA	72.6	NA	1117.25	2637.25	NA	NA	NA	NA	NA	7376.87	13317.46	NA	NA	NA	409.18	1507.05	NA	7625	NA	856.57	NA	NA	NA	NA	NA	722.6	NA	5023.19	2317.38	NA	NA	NA	2760	594.05	NA	NA	NA	NA	NA	NA	NA	948.94	10306.25	1242	1710	NA
1988-12-30	2769.25	NA	917.7	NA	NA	NA	NA	1981.1	7445.44	NA	NA	NA	8270.1	1889.55	NA	NA	80.85	NA	1117.25	2623.77	NA	NA	NA	NA	NA	7768.52	14898.63	NA	NA	NA	478.03	1605.55	NA	7716.5	NA	775.57	NA	NA	NA	NA	NA	734.21	NA	4691.08	2286.07	NA	NA	NA	2976	588.6	NA	NA	NA	NA	NA	NA	NA	953.1	10553.6	1136.7	1551.6	NA
1989-01-31	2930.37	NA	837.37	NA	NA	NA	NA	2261.98	7866.88	NA	NA	NA	8561.08	1955.85	NA	NA	84.15	NA	1106.35	2762.37	NA	NA	NA	NA	NA	7886.55	15121.33	NA	NA	NA	502.71	1556.3	NA	8402.75	NA	793.8	NA	NA	NA	NA	NA	769.03	NA	4677.24	2317.38	NA	NA	NA	2856	555.9	NA	NA	NA	NA	NA	NA	NA	1007.2	10784.46	1120.5	1596.6	NA
1989-02-28	2960.58	NA	819	NA	NA	NA	NA	2359.35	9043.4	NA	NA	NA	8147.58	1922.7	NA	NA	89.1	NA	1095.45	2795.1	NA	NA	NA	NA	NA	7543.19	14241.66	NA	NA	NA	480.63	1526.75	NA	8326.5	NA	799.87	NA	NA	NA	NA	NA	806.76	NA	4372.8	2145.15	NA	NA	NA	2880	561.35	NA	NA	NA	NA	NA	NA	NA	932.29	10058.89	1107	1564.2	NA
1989-03-31	3242.54	NA	800.1	NA	NA	NA	NA	2602.77	9956.52	NA	NA	NA	8867.38	1935.96	NA	NA	95.7	NA	1105.26	2810.5	NA	NA	NA	NA	NA	7811.44	14742.73	NA	NA	NA	531.29	1615.4	NA	8997.5	NA	820.12	NA	NA	NA	NA	NA	798.05	NA	4469.67	2286.07	NA	NA	NA	3056	599.5	NA	NA	NA	NA	NA	NA	NA	978.07	10652.54	1163.7	1719	NA
1989-04-28	3514.43	NA	867.3	NA	NA	NA	NA	2636.48	10325.28	NA	NA	NA	8826.78	1935.96	NA	NA	92.4	NA	1155.4	2837.45	NA	NA	NA	NA	NA	8090.42	14987.71	NA	NA	NA	513.1	1674.5	NA	9912.5	NA	917.32	NA	NA	NA	NA	NA	844.48	NA	4428.16	2223.44	NA	NA	NA	3310	566.8	NA	NA	NA	NA	NA	NA	NA	965.58	10685.52	1269	1800	NA
1989-05-31	3796.39	NA	845.25	NA	NA	NA	NA	2666.44	9658	NA	NA	NA	8968	1843.14	NA	NA	93.06	NA	1231.7	2641.1	NA	NA	NA	NA	NA	7618.3	14185.99	NA	NA	NA	504.01	1723.75	NA	9882	NA	858.6	NA	NA	NA	NA	NA	905.42	NA	4040.69	2074.68	NA	NA	NA	2990	618.8	NA	NA	NA	NA	NA	NA	NA	944.77	10058.89	1174.5	1627.2	NA
1989-06-30	4350.24	NA	879.37	NA	NA	NA	NA	2913.61	11361.32	NA	NA	NA	9158	1969.11	NA	NA	103.95	NA	1329.8	2704.62	NA	NA	NA	NA	NA	8858.22	17160.92	NA	NA	NA	522.2	1870.74	NA	10391.95	NA	972	NA	NA	1855.04	NA	NA	1094.05	NA	4649.57	2207.78	NA	NA	NA	3080	645.57	NA	NA	NA	NA	NA	NA	NA	973.91	10982.34	1208.25	1795.5	NA
1989-07-31	4325.06	NA	892.5	NA	NA	NA	NA	3145.8	11484.24	NA	NA	NA	10507	2068.56	NA	NA	NA	NA	1305.82	2822.05	NA	NA	NA	NA	NA	9455.53	18914.42	NA	NA	NA	541.68	2012.96	NA	11773.45	NA	972	NA	NA	2018.24	NA	NA	1166.6	NA	5147.73	2372.19	NA	NA	NA	3620	699.12	NA	NA	NA	NA	NA	NA	NA	1069.63	12598.36	1418.62	2143.2	NA
1989-08-31	4934.3	NA	929.25	NA	NA	NA	NA	3374.24	12362.24	NA	NA	NA	10678	2022.15	NA	NA	NA	NA	1286.2	2883.65	NA	NA	NA	NA	NA	9962.68	19709.34	NA	NA	NA	535.19	1952.79	NA	13752.9	NA	1036.8	NA	NA	1980.16	NA	NA	1189.82	NA	5092.38	2403.5	NA	NA	NA	3550	856.8	NA	NA	NA	NA	NA	NA	NA	1144.55	13356.9	1440.45	2167.9	NA
1989-09-29	4883.95	NA	950.25	NA	NA	NA	NA	3115.84	11449.12	NA	NA	NA	10146	2081.82	NA	NA	NA	NA	1275.3	2648.8	NA	NA	NA	NA	NA	9692.2	19569.06	NA	NA	NA	542.98	1969.2	NA	12387.6	NA	1044.9	NA	NA	1882.24	NA	NA	1239.15	NA	4940.16	2286.07	NA	NA	NA	3560	934.49	NA	NA	NA	NA	NA	NA	NA	1073.8	12565.38	1447.72	2033	NA
1989-10-31	5165.91	NA	837.37	NA	NA	NA	NA	2816.24	10500.88	NA	NA	NA	9405	2006.4	NA	NA	NA	NA	1253.5	2467.85	NA	NA	NA	NA	NA	9252.67	18902.73	NA	NA	NA	513.1	1848.86	NA	11438.55	NA	931.5	NA	NA	1849.6	NA	NA	1611.72	NA	4663.4	2152.97	NA	NA	NA	3540	858.07	NA	NA	NA	NA	NA	NA	NA	1032.18	11955.25	1324.05	1871.5	NA
1989-11-30	5186.05	NA	892.5	NA	NA	NA	NA	2838.71	10325.28	NA	NA	NA	10108	1985.28	NA	NA	NA	NA	1358.14	2591.05	NA	NA	NA	NA	NA	9765.45	19709.34	NA	NA	NA	396.19	1903.56	NA	12287.7	NA	919.35	NA	NA	2034.56	NA	NA	1877.53	NA	4870.97	2293.9	NA	NA	NA	3740	910.18	NA	NA	NA	NA	NA	NA	NA	1123.74	12862.2	1294.95	2014	NA
1989-12-29	5165.91	NA	2666	NA	NA	NA	NA	2801.26	10149.68	NA	NA	NA	10127	1985.28	NA	NA	NA	NA	1268.76	2594.9	NA	NA	NA	NA	NA	9940.14	20293.84	NA	NA	NA	388.4	1952.79	NA	11954.7	NA	933.52	NA	NA	2007.36	NA	NA	1950.12	NA	4829.46	2215.61	NA	NA	NA	3649.4	844.17	NA	NA	NA	NA	NA	NA	NA	1227.79	13521.8	1280.4	1983.6	NA
1990-01-31	5437.8	NA	2306.09	NA	NA	NA	NA	2707.63	9622.88	NA	NA	NA	9234	2147.2	NA	NA	NA	NA	1151.04	2490.95	NA	NA	NA	NA	NA	9855.61	19826.24	NA	NA	NA	348.13	1969.2	NA	11954.7	NA	915.3	NA	NA	1865.92	NA	NA	1974.31	NA	4580.38	2168.63	NA	NA	NA	3393.8	802.48	NA	NA	NA	NA	NA	NA	NA	1115.42	12697.3	1258.57	1930.4	NA
1990-02-28	5608.98	NA	1939.51	NA	NA	NA	NA	2411.78	10044.32	NA	NA	NA	9006	2006.4	NA	NA	NA	NA	1193.55	2390.85	NA	NA	NA	NA	NA	9754.18	20036.66	NA	NA	NA	363.72	1706.64	NA	12287.7	NA	846.45	NA	NA	1762.56	NA	NA	2153.35	NA	4511.18	2270.41	NA	NA	NA	3266	757.32	NA	NA	NA	NA	NA	NA	NA	1248.6	12433.46	1054.87	1681.5	NA
1990-03-30	5311.92	NA	2066.15	NA	NA	NA	NA	2187.08	9306.8	NA	NA	NA	8588	2175.36	NA	NA	NA	NA	1220.8	2598.75	NA	NA	NA	NA	NA	9692.2	19989.89	NA	NA	NA	378.01	1750.4	NA	11954.7	NA	874.8	NA	NA	1686.4	NA	NA	2032.38	NA	4317.45	2207.78	NA	NA	NA	3180.8	729.53	NA	NA	NA	NA	NA	NA	NA	1161.2	11510.02	1009.77	1660.6	NA
1990-04-30	5588.85	NA	1846.2	NA	NA	NA	NA	2172.1	11866.7	NA	NA	NA	8170	2006.4	NA	NA	NA	NA	1286.2	2627.62	NA	NA	NA	NA	NA	9297.75	18645.55	NA	NA	NA	383.2	1476.9	NA	11788.2	NA	858.6	NA	NA	1599.36	NA	NA	2080.77	NA	3943.83	1965.08	NA	NA	NA	2797.4	667	NA	NA	NA	NA	NA	NA	NA	1092.02	11798.01	939.93	1447.8	NA
1990-05-31	6239.02	NA	2219.44	NA	NA	NA	NA	2546.6	13434	NA	NA	NA	9348	2323.2	NA	NA	NA	NA	1487.85	2723.87	NA	NA	NA	NA	NA	10171.17	20399.05	NA	NA	NA	432.57	1684.76	NA	13619.7	NA	943.65	NA	NA	1833.28	NA	NA	2167.87	NA	4483.51	2215.61	NA	NA	NA	3535.8	781.52	NA	NA	NA	NA	NA	NA	NA	100.36	13757.94	1190.19	1805	NA
