Date	CPI_as_of_88.06		
1988-06-30	100.0000		
1988-07-29	99.7317		
1988-08-31	100.0894		
1988-09-30	100.1789		
1988-10-31	100.2683		
1988-11-30	100.6261		
1988-12-30	100.8945		
1989-01-31	101.4311		
1989-02-28	101.8784		
1989-03-31	102.1467		
1989-04-28	102.6834		
1989-05-31	102.7728		
1989-06-30	102.9517		
1989-07-31	102.7728		
1989-08-31	103.1306		
1989-09-29	103.5778		
1989-10-31	103.9356		
1989-11-30	105.1878		
1989-12-29	105.9034		
1990-01-31	106.5295		
1990-02-28	106.8873		
1990-03-30	107.2451		
1990-04-30	107.5134		
1990-05-31	107.9606		
1990-06-29	108.1395		
1990-07-31	108.2290		
1990-08-31	109.3918		
1990-09-28	109.8390		
1990-10-31	110.5546		
1990-11-30	111.5385		
1990-12-31	111.5385		
1991-01-31	112.4329		
1991-02-28	113.5063		
1991-03-29	113.5063		
1991-04-30	113.7746		
1991-05-31	114.7585		
1991-06-28	115.2057		
1991-07-31	115.2952		
1991-08-30	115.9213		
1991-09-30	116.1002		
1991-10-31	116.1896		
1991-11-29	117.6208		
1991-12-31	117.3524		
1992-01-31	117.8891		
1992-02-28	118.6941		
1992-03-31	119.0519		
1992-04-30	119.2308		
1992-05-29	119.5886		
1992-06-30	120.0358		
1992-07-31	119.6780		
1992-08-31	120.0358		
1992-09-30	120.1252		
1992-10-30	120.3041		
1992-11-30	121.4669		
1992-12-31	121.3775		
1993-01-29	122.0036		
1993-02-26	122.7191		
1993-03-31	123.4347		
1993-04-30	123.7925		
1993-05-31	123.8819		
1993-06-30	123.7925		
1993-07-30	123.7030		
1993-08-31	124.3292		
1993-09-30	124.2397		
1993-10-29	124.3292		
1993-11-30	124.2397		
1993-12-31	124.3292		
1994-01-31	124.5081		
1994-02-28	125.0447		
1994-03-31	125.0447		
1994-04-29	125.0447		
1994-05-31	124.3292		
1994-06-30	124.5081		
1994-07-29	124.5081		
1994-08-31	124.9553		
1994-09-30	125.0447		
1994-10-31	124.9553		
1994-11-30	124.8658		
1994-12-30	124.8658		
1995-01-31	125.7603		
1995-02-28	126.9231		
1995-03-31	126.9231		
1995-04-28	127.1020		
1995-05-31	126.8336		
1995-06-30	127.1020		
1995-07-31	127.0125		
1995-08-31	127.3703		
1995-09-29	127.5492		
1995-10-31	127.3703		
1995-11-30	127.2809		
1995-12-29	127.2809		
1996-01-31	127.6386		
1996-02-29	127.9070		
1996-03-29	128.0859		
1996-04-30	128.2648		
1996-05-31	127.7281		
1996-06-28	127.9964		
1996-07-31	127.8175		
1996-08-30	128.1753		
1996-09-30	128.2648		
1996-10-31	128.4436		
1996-11-29	128.1753		
1996-12-31	128.2648		
1997-01-31	128.7120		
1997-02-28	128.9803		
1997-03-31	128.8014		
1997-04-30	128.8909		
1997-05-30	128.5331		
1997-06-30	128.6225		
1997-07-31	128.5331		
1997-08-29	128.8014		
1997-09-30	128.8014		
1997-10-31	128.8014		
1997-11-28	128.7120		
1997-12-31	128.8014		
1998-01-30	128.8014		
1998-02-27	128.8909		
1998-03-31	128.8014		
1998-04-30	128.8909		
1998-05-29	128.6225		
1998-06-30	128.8014		
1998-07-31	128.6225		
1998-08-31	128.9803		
1998-09-30	128.8909		
1998-10-30	128.8014		
1998-11-30	128.6225		
1998-12-31	128.6225		
1999-01-29	128.8909		
1999-02-26	129.2487		
1999-03-31	129.4275		
1999-04-30	129.6064		
1999-05-31	129.3381		
1999-06-30	129.5170		
1999-07-30	129.5170		
1999-08-31	130.1431		
1999-09-30	130.4114		
1999-10-29	130.4114		
1999-11-30	130.3220		
1999-12-31	130.7692		
2000-01-31	130.8587		
2000-02-29	131.3953		
2000-03-31	131.3059		
2000-04-28	131.4848		
2000-05-31	131.3953		
2000-06-30	131.8426		
2000-07-31	132.0215		
2000-08-31	131.6637		
2000-09-29	132.2898		
2000-10-31	132.1109		
2000-11-30	132.8265		
2000-12-29	132.6476		
2001-01-31	132.5581		
2001-02-28	132.3792		
2001-03-30	132.6476		
2001-04-30	133.0054		
2001-05-31	133.7209		
2001-06-29	133.9893		
2001-07-31	133.7209		
2001-08-31	133.0054		
2001-09-28	133.1843		
2001-10-31	133.0054		
2001-11-30	133.1843		
2001-12-31	133.0948		
2002-01-31	133.2737		
2002-02-28	133.2737		
2002-03-29	133.2737		
2002-04-30	134.4365		
2002-05-31	134.6154		
2002-06-28	134.4365		
2002-07-31	133.7209		
2002-08-30	133.6315		
2002-09-30	133.8104		
2002-10-31	134.6154		
2002-11-29	134.3470		
2002-12-31	134.3470		
2003-01-31	134.4365		
2003-02-28	134.5259		
2003-03-31	135.0626		
2003-04-30	135.3309		
2003-05-30	135.1521		
2003-06-30	135.1521		
2003-07-31	134.0787		
2003-08-29	134.3470		
2003-09-30	134.5259		
2003-10-31	135.2415		
2003-11-28	135.0626		
2003-12-31	135.0626		
2004-01-30	134.6154		
2004-02-27	134.7048		
2004-03-31	134.9732		
2004-04-30	136.0465		
2004-05-31	136.4043		
2004-06-30	136.6726		
2004-07-30	135.2415		
2004-08-31	135.6887		
2004-09-30	135.6887		
2004-10-29	137.0304		
2004-11-30	137.1199		
2004-12-31	136.9410		
2005-01-31	136.2254		
2005-02-28	136.5832		
2005-03-31	136.9410		
2005-04-29	138.0143		
2005-05-31	137.9249		
2005-06-30	137.5671		
2005-07-29	136.8515		
2005-08-31	137.0304		
2005-09-30	137.6565		
2005-10-31	138.8193		
2005-11-30	138.4615		
2005-12-30	138.2826		
2006-01-31	138.0143		
2006-02-28	138.4615		
2006-03-31	138.2826		
2006-04-28	139.4454		
2006-05-31	139.8032		
2006-06-30	139.7138		
2006-07-31	138.7299		
2006-08-31	138.9982		
2006-09-29	138.7299		
2006-10-31	139.1771		
2006-11-30	139.0877		
2006-12-29	139.1771		
2007-01-31	138.1932		
2007-02-28	138.4615		
2007-03-30	138.5510		
2007-04-30	140.0716		
2007-05-31	140.4293		
2007-06-29	140.6082		
2007-07-31	139.8032		
2007-08-31	139.6243		
2007-09-28	139.7138		
2007-10-31	140.9660		
2007-11-30	141.5921		
2007-12-31	141.9499		
2008-01-31	141.5027		
2008-02-29	141.6816		
2008-03-31	142.2182		
2008-04-30	143.2916		
2008-05-30	144.4544		
2008-06-30	144.7227		
2008-07-31	144.0966		
2008-08-29	143.6494		
2008-09-30	143.8283		
2008-10-31	144.6333		
2008-11-28	143.6494		
2008-12-31	142.9338		
2009-01-30	141.6816		
2009-02-27	142.0394		
2009-03-31	141.5921		
2009-04-30	142.8444		
2009-05-29	143.0233		
2009-06-30	143.2916		
2009-07-31	142.3971		
2009-08-31	142.4866		
2009-09-30	142.4866		
2009-10-30	143.3810		
2009-11-30	143.6494		
2009-12-31	143.2916		
2010-01-29	143.2021		
2010-02-26	143.3810		
2010-03-31	143.5599		
2010-04-30	144.8122		
2010-05-31	144.6333		
2010-06-30	144.0072		
2010-07-30	142.9338		
2010-08-31	142.9338		
2010-09-30	142.9338		
2010-10-29	143.6494		
2010-11-30	144.0072		
2010-12-31	144.0966		
2011-01-31	143.5599		
2011-02-28	144.0966		
2011-03-31	144.9911		
2011-04-29	145.1699		
2011-05-31	145.1699		
2011-06-30	144.8122		
2011-07-29	143.6494		
2011-08-31	143.2021		
2011-09-30	143.6494		
2011-10-31	143.4705		
2011-11-30	143.2916		
2011-12-30	143.0233		
2012-01-31	142.3971		
2012-02-29	142.8444		
2012-03-30	143.6494		
2012-04-30	143.7388		
2012-05-31	143.7388		
2012-06-29	143.2916		
2012-07-31	142.5760		
2012-08-31	142.5760		
2012-09-28	143.0233		
2012-10-31	143.2021		
2012-11-30	142.7549		
2012-12-31	142.3971		
2013-01-31	142.0394		
2013-02-28	142.4866		
2013-03-29	142.7549		
2013-04-30	142.8444		
2013-05-31	143.0233		
2013-06-28	143.1127		
2013-07-31	142.5760		
2013-08-30	142.4866		
2013-09-30	142.9338		
2013-10-31	142.8444		
2013-11-29	142.8444		
2013-12-31	142.4866		
2014-01-31	142.1288		
2014-02-28	142.3077		
2014-03-31	142.7549		
2014-04-30	142.8444		
2014-05-30	143.2916		
2014-06-30	143.2021		
2014-07-31	142.6655		
2014-08-29	142.5760		
2014-09-30	142.8444		
2014-10-31	142.8444		
2014-11-28	142.7549		
2014-12-31	142.0394		
2015-01-30	141.4132		
2015-02-27	141.0555		
2015-03-31	141.5027		
2015-04-30	141.2343		
2015-05-29	141.5921		
2015-06-30	141.6816		
2015-07-31	140.8766		
2015-08-31	140.6082		
2015-09-30	140.7871		
2015-10-30	140.8766		
2015-11-30	140.7871		
2015-12-31	140.1610		
2016-01-29	139.6243		
2016-02-29	139.8927		
2016-03-31	140.3399		
2016-04-29	140.7871		
2016-05-31	140.9660		
2016-06-30	141.1449		
2016-07-29	140.5188		
2016-08-31	140.4293		
2016-09-30	140.5188		
2016-10-31	140.6082		
2016-11-30	140.2504		
2016-12-30	140.1610		
2017-01-31	140.1610		
2017-02-28	140.7871		
2017-03-31	141.1449		
2017-04-28	141.4132		
2017-05-31	141.6816		
2017-06-30	141.4132		
2017-07-31	141.0555		
2017-08-31	141.0555		
2017-09-29	141.4132		
2017-10-31	141.5027		
2017-11-30	141.4132		
2017-12-29	141.3238		
2018-01-31	141.1449		
2018-02-28	141.6816		
2018-03-30	142.2182		
2018-04-30	142.4866		
2018-05-31	143.1127		
2018-06-29	143.1127		
2018-07-31	142.7549		
2018-08-31	142.7549		
2018-09-28	142.8444		
2018-10-31	143.0233		
2018-11-30	142.6655		
2018-12-31	142.3077		
2019-01-31	141.9499		
2019-02-28	142.4866		
2019-03-29	143.2916		
2019-04-30	143.5599		
2019-05-31	144.0072		
2019-06-28	143.9177		
2019-07-31	143.2021		
2019-08-30	143.2021		
2019-09-30	143.0233		
2019-10-31	142.6655		
2019-11-29	142.4866		
2019-12-31	142.5760		
2020-01-31	142.2182		
2020-02-28	142.3971		
2020-03-31	142.4866		
2020-04-30	142.0394		
2020-05-29	142.0394		
2020-06-30	142.1288		
2020-07-31	141.8605		
2020-08-31	141.9499		
2020-09-30	141.8605		
2020-10-30	141.8605		
2020-11-30	141.5027		
2020-12-31	141.4132		
2021-01-29	141.5027		
2021-02-26	141.6816		
