Date	ABB	Actelion	Adecco	Alcon	Alusuisse	Baloise	Ciba_SC	Ciba_Geigy_I	Ciba_Geigy_PS	Clariant	Compagnie_Financiere_Richemont	Credit_Suisse_Group	Credit_Suisse_Holding	Elektrowatt	EMS_Chemie_Holding	Geberit	Georg_Fischer	Givaudan	Holcim	Jacobs_Suchard	Julius_Baer_Group	Kudelski	LafargeHolcim	Lonza_Group	Merck_Serono	Nestle_I	Nestle_PS	Nobel_Biocare_Holding	Novartis_I	Novartis_N	OC_Oerlikon_Corporation	Pargesa_Holding	Partners_Group	Roche_Holding	SAirGroup	Sandoz_PS	Sandoz_N	Schweizerische_Volksbank_StN	Schweizerische_Volksbank_ST	SGS	Sika	Societe_Internationale_Pirelli	Sulzer	Swiss_Bank_I	Swiss_Bank_PS	Swiss_Bank_N	Swiss_Life_Holding_I	Swiss_Life_Holding_N	Swiss_Re	Swissair	Swisscom	Syngenta	Synthes	The_Swatch_Group_I	The_Swatch_Group_N	Transocean	UBS_N	UBS_PS	UBS_I	Winterthur	Zurich_Insurance_Group_I	Zurich_Insurance_Group_N
1988-06-30	5.294	NA	155.845	NA	NA	NA	NA	668.55	305.75	NA	NA	NA	76.45	296.7	NA	NA	NA	NA	98.75	7890	NA	NA	NA	NA	NA	834.87	4.103	NA	NA	NA	17.294	30.672	NA	11.166	NA	467.5	NA	158.67	NA	NA	NA	222.89	NA	351	292	NA	NA	NA	16.554	1068.24	NA	NA	NA	NA	NA	NA	NA	112.5	610.87	955.02	1406.93	NA
1988-07-29	4.982	NA	157.232	NA	NA	NA	NA	649.82	301.81	NA	NA	NA	77.05	294.23	NA	NA	NA	NA	97.82	7700	NA	NA	NA	NA	NA	817.19	4.006	NA	NA	NA	16.325	31.068	NA	11.329	NA	491.85	NA	155.73	NA	NA	NA	217	NA	380	299	NA	NA	NA	16.637	1125.22	NA	NA	NA	NA	NA	NA	NA	116	648.19	972.96	1397.3	NA
1988-08-31	5.049	NA	162.319	NA	NA	NA	NA	648.83	315.62	NA	NA	NA	75.54	286.81	NA	NA	NA	NA	97.36	7500	NA	NA	NA	NA	NA	816.69	4.123	NA	NA	NA	19.715	31.661	NA	11.119	NA	478.21	NA	154.75	NA	NA	NA	212.8	NA	357	291	NA	NA	NA	16.802	1082.49	NA	NA	NA	NA	NA	NA	NA	113.5	624.61	937.09	1319	NA
1988-09-30	5.527	NA	171.476	NA	NA	NA	NA	668.55	327.45	NA	NA	NA	80.83	279.89	NA	NA	184.4	NA	98.29	7750	NA	NA	NA	NA	NA	859.42	4.133	NA	NA	NA	21.444	33.541	NA	11.935	NA	481.13	NA	152.79	NA	NA	NA	207.75	NA	375	303	NA	NA	NA	16.94	1101.48	NA	NA	NA	NA	NA	NA	NA	114.5	639.35	1008.82	1373.21	NA
1988-10-31	5.928	NA	175.73	NA	NA	NA	NA	685.31	353.1	NA	NA	NA	87.03	292.75	NA	NA	179.771	NA	99.77	7680	NA	NA	NA	NA	NA	873.17	4.264	NA	NA	NA	20.96	32.057	NA	11.842	NA	479.19	NA	NA	NA	NA	NA	224.57	NA	391	313	NA	NA	NA	17.518	1125.22	NA	NA	NA	NA	NA	NA	NA	123	675.68	998.96	1409.34	NA
1988-11-30	6.161	NA	171.08	NA	NA	NA	NA	534.45	398.47	NA	NA	NA	81.28	274.94	NA	NA	169.741	NA	95.04	6850	NA	NA	NA	NA	NA	675.26	5.829	NA	NA	NA	21.79	30.276	NA	11.655	NA	411.98	NA	NA	NA	NA	NA	209.43	NA	363	296	NA	NA	NA	19.006	1035.01	NA	NA	NA	NA	NA	NA	NA	114	613.81	824.99	1144.34	NA
1988-12-30	6.117	NA	168.004	NA	NA	NA	NA	521.63	418.19	NA	NA	NA	81.59	281.87	NA	NA	189.03	NA	95.04	6815	NA	NA	NA	NA	NA	711.11	6.521	NA	NA	NA	25.456	32.255	NA	11.795	NA	373.02	NA	NA	NA	NA	NA	212.8	NA	339	292	NA	NA	NA	20.493	1025.51	NA	NA	NA	NA	NA	NA	NA	114.5	628.54	755.05	1038.34	NA
1989-01-31	6.473	NA	153.299	NA	NA	NA	NA	595.58	441.86	NA	NA	NA	84.46	291.76	NA	NA	196.745	NA	94.11	7175	NA	NA	NA	NA	NA	721.91	6.618	NA	NA	NA	26.771	31.266	NA	12.844	NA	381.79	NA	NA	NA	NA	NA	222.89	NA	338	296	NA	NA	NA	19.667	968.54	NA	NA	NA	NA	NA	NA	NA	121	642.29	744.29	1068.45	NA
1989-02-28	6.539	NA	149.935	NA	NA	NA	NA	621.22	507.95	NA	NA	NA	80.38	286.81	NA	NA	208.318	NA	93.19	7260	NA	NA	NA	NA	NA	690.48	6.233	NA	NA	NA	25.595	30.672	NA	12.727	NA	384.71	NA	NA	NA	NA	NA	233.83	NA	316	274	NA	NA	NA	19.832	978.04	NA	NA	NA	NA	NA	NA	NA	112	599.08	735.32	1046.77	NA
1989-03-31	7.162	NA	146.475	NA	NA	NA	NA	685.31	559.24	NA	NA	NA	87.48	288.79	NA	NA	223.749	NA	94.02	7300	NA	NA	NA	NA	NA	715.04	6.452	NA	NA	NA	28.293	32.453	NA	13.753	NA	394.45	NA	NA	NA	NA	NA	231.3	NA	323	292	NA	NA	NA	21.044	1044.5	NA	NA	NA	NA	NA	NA	NA	117.5	634.44	772.98	1150.36	NA
1989-04-28	7.763	NA	158.777	NA	NA	NA	NA	694.19	579.95	NA	NA	NA	87.09	288.79	NA	NA	216.034	NA	98.29	7370	NA	NA	NA	NA	NA	740.57	6.56	NA	NA	NA	27.324	33.64	NA	15.152	NA	441.2	NA	NA	NA	NA	NA	244.76	NA	320	284	NA	NA	NA	22.793	987.53	NA	NA	NA	NA	NA	NA	NA	116	636.4	842.93	1204.57	NA
1989-05-31	8.386	NA	154.741	NA	NA	NA	NA	702.08	542.47	NA	NA	NA	82.58	274.94	NA	NA	217.577	NA	104.78	6860	NA	NA	NA	NA	NA	697.36	6.209	NA	NA	NA	26.84	34.63	NA	15.105	NA	412.96	NA	NA	NA	NA	NA	262.42	NA	292	265	NA	NA	NA	20.59	1013.93	NA	NA	NA	NA	NA	NA	NA	113.5	599.08	780.16	1088.93	NA
1989-06-30	9.609	NA	160.988	NA	NA	NA	NA	767.16	638.14	NA	NA	NA	84.33	293.73	NA	NA	243.038	NA	113.12	7025	NA	NA	NA	NA	NA	786	7.26	NA	NA	NA	27.808	34.176	NA	15.781	NA	467.5	NA	NA	170.5	NA	NA	317.1	NA	336	282	NA	NA	NA	21.21	1057.81	NA	NA	NA	NA	NA	NA	NA	117	654.08	802.58	1148.65	NA
1989-07-31	9.553	NA	163.391	NA	NA	NA	NA	828.29	645.04	NA	NA	NA	96.75	308.57	NA	NA	NA	NA	111.08	7330	NA	NA	NA	NA	NA	839	8.002	NA	NA	NA	28.846	36.774	NA	17.879	NA	467.5	NA	NA	185.5	NA	NA	338.12	NA	372	303	NA	NA	NA	24.928	1145.55	NA	NA	NA	NA	NA	NA	NA	128.5	750.32	936.1	1371.09	NA
1989-08-31	10.899	NA	170.119	NA	NA	NA	NA	888.44	694.36	NA	NA	NA	98.32	301.65	NA	NA	NA	NA	109.41	7490	NA	NA	NA	NA	NA	884	8.338	NA	NA	NA	28.5	35.675	NA	20.031	NA	498.66	NA	NA	182	NA	NA	344.85	NA	368	307	NA	NA	NA	24.446	1403.91	NA	NA	NA	NA	NA	NA	NA	137.5	795.5	950.5	1386.89	NA
1989-09-29	10.788	NA	173.963	NA	NA	NA	NA	820.4	643.07	NA	NA	NA	93.42	310.55	NA	NA	NA	NA	108.49	6880	NA	NA	NA	NA	NA	860	8.279	NA	NA	NA	28.915	35.975	NA	18.043	NA	502.56	NA	NA	173	NA	NA	359.15	NA	357	292	NA	NA	NA	24.515	1311.29	NA	NA	NA	NA	NA	NA	NA	129	748.36	955.3	1300.59	NA
1989-10-31	11.411	NA	153.299	NA	NA	NA	NA	741.52	589.81	NA	NA	NA	86.6	281.87	NA	NA	NA	NA	106.63	6410	NA	NA	NA	NA	NA	821	7.997	NA	NA	NA	27.324	33.776	NA	16.66	NA	448.02	NA	NA	170	NA	NA	342.33	NA	337	275	NA	NA	NA	24.377	1204.05	NA	NA	NA	NA	NA	NA	NA	124	712.02	873.69	1197.27	NA
1989-11-30	11.455	NA	163.391	NA	NA	NA	NA	747.44	579.95	NA	NA	NA	93.07	278.9	NA	NA	NA	NA	115.53	6730	NA	NA	NA	NA	NA	866.5	8.338	NA	NA	NA	21.098	34.775	NA	17.897	NA	442.18	NA	NA	187	NA	NA	335.46	NA	352	293	NA	NA	NA	25.754	1277.17	NA	NA	NA	NA	NA	NA	NA	135	766.04	854.49	1288.43	NA
1989-12-29	11.411	NA	150.174	NA	NA	NA	NA	737.58	570.08	NA	NA	NA	93.25	278.9	NA	NA	NA	NA	107.93	6740	NA	NA	NA	NA	NA	882	8.586	NA	NA	NA	20.683	35.675	NA	17.412	NA	448.99	NA	NA	184.5	NA	NA	348.43	NA	349	283	NA	NA	NA	23.149	1184.55	NA	NA	NA	NA	NA	NA	NA	147.5	805.32	844.89	1268.98	NA
1990-01-31	12.011	NA	129.901	NA	NA	NA	NA	712.92	540.5	NA	NA	NA	85.02	301.65	NA	NA	NA	NA	97.92	6470	NA	NA	NA	NA	NA	874.5	8.388	NA	NA	NA	18.539	35.975	NA	17.412	NA	440.23	NA	NA	171.5	NA	NA	352.75	NA	331	277	NA	NA	NA	21.528	1126.05	NA	NA	NA	NA	NA	NA	NA	134	756.22	830.49	1234.95	NA
1990-02-28	12.389	NA	109.252	NA	NA	NA	NA	635.02	564.17	NA	NA	NA	82.93	281.87	NA	NA	NA	NA	101.53	6210	NA	NA	NA	NA	NA	865.5	8.477	NA	NA	NA	19.369	31.178	NA	17.897	NA	407.11	NA	NA	162	NA	NA	384.74	NA	326	290	NA	NA	NA	20.717	1062.68	NA	NA	NA	NA	NA	NA	NA	150	740.5	696.07	1075.72	NA
1990-03-30	11.733	NA	116.385	NA	NA	NA	NA	575.86	522.74	NA	NA	NA	79.08	305.6	NA	NA	NA	NA	103.85	6750	NA	NA	NA	NA	NA	860	8.457	NA	NA	NA	20.13	31.977	NA	17.412	NA	420.75	NA	NA	155	NA	NA	363.13	NA	312	282	NA	NA	NA	20.177	1023.68	NA	NA	NA	NA	NA	NA	NA	139.5	685.51	666.31	1062.35	NA
1990-04-30	12.345	NA	103.996	NA	NA	NA	NA	571.92	522.74	NA	NA	NA	75.23	281.87	NA	NA	NA	NA	109.41	6825	NA	NA	NA	NA	NA	825	7.888	NA	NA	NA	20.407	26.981	NA	17.169	NA	412.96	NA	NA	147	NA	NA	371.77	NA	285	251	NA	NA	NA	17.745	935.94	NA	NA	NA	NA	NA	NA	NA	121	608.48	620.22	926.21	NA
1990-05-31	13.567	NA	125.02	NA	NA	NA	NA	670.52	591.78	NA	NA	NA	86.07	326.37	NA	NA	NA	NA	126.57	7075	NA	NA	NA	NA	NA	902.5	8.63	NA	NA	NA	23.035	30.778	NA	19.837	NA	453.86	NA	NA	168.5	NA	NA	387.34	NA	324	283	NA	NA	NA	22.429	1075	NA	NA	NA	NA	NA	NA	NA	139	709.56	785.36	1154.73	NA
1990-06-29	13.288	NA	118.262	NA	NA	NA	NA	680.38	601.65	NA	NA	NA	87.12	349.12	NA	NA	NA	NA	135.38	8225	NA	NA	NA	NA	NA	885	8.284	NA	NA	NA	21.79	29.779	NA	21.195	NA	467.5	NA	NA	166.5	NA	NA	410.68	NA	317	279	NA	NA	NA	22.879	970	NA	NA	NA	NA	NA	NA	NA	140	705.59	831.45	1135.28	NA
1990-07-31	13.779	NA	108.596	NA	NA	NA	NA	631.08	546.41	NA	NA	NA	83.61	330.33	NA	NA	NA	NA	133.15	8380	NA	NA	NA	NA	NA	862	8.19	NA	NA	NA	22.482	29.779	NA	20.177	NA	428.54	NA	NA	156	NA	NA	406.36	NA	323	282	NA	NA	NA	22.699	940	NA	NA	NA	NA	NA	NA	NA	144	707.58	860	1174.17	NA
1990-08-31	11.233	NA	87.653	NA	NA	NA	NA	510.78	443.84	NA	NA	NA	73.34	312.53	NA	NA	NA	NA	101.07	8430	NA	NA	NA	NA	NA	764	7.419	NA	NA	NA	16.602	22.384	NA	17.558	NA	364.26	NA	NA	128	NA	NA	389.07	NA	307	260	NA	NA	NA	19.276	755	NA	NA	NA	NA	NA	NA	NA	125	606.49	748	1016.16	NA
1990-09-28	8.777	NA	72.527	NA	NA	NA	NA	463.45	388.6	NA	NA	NA	64.17	297.69	NA	NA	NA	NA	89.01	8550	NA	NA	NA	NA	NA	696	6.568	NA	NA	NA	14.043	20.086	NA	15.763	NA	335.04	NA	NA	115.5	NA	NA	324.22	NA	280	243	NA	NA	NA	15.943	640	NA	NA	NA	NA	NA	NA	NA	111	543.07	656	843.56	NA
1990-10-31	9.849	NA	70.588	NA	NA	NA	NA	453.59	378.74	NA	NA	NA	62.89	314.5	NA	NA	NA	NA	85.49	8200	NA	NA	NA	NA	NA	765	7.359	NA	NA	NA	12.451	22.784	NA	18.043	NA	346.73	NA	NA	114	NA	NA	328.54	NA	283	241	NA	NA	NA	16.574	600	NA	NA	NA	NA	NA	NA	NA	112	535.14	684	906.76	NA
1990-11-30	8.844	NA	69.036	NA	NA	NA	NA	465.42	398.47	NA	NA	NA	60.5	316.48	NA	NA	NA	NA	71.4	8200	NA	NA	NA	NA	NA	742	6.924	NA	NA	NA	9.477	20.785	NA	17.897	NA	345.56	NA	NA	109.5	NA	NA	302.61	NA	271	224	NA	NA	NA	16.394	580	NA	NA	NA	NA	NA	NA	NA	110	537.12	740	952.95	NA
