Date	SMI	SMI.Total.Return				
1988-06-30	1500	NA				
1988-07-29	1505.8	NA				
1988-08-31	1479.1	NA				
1988-09-30	1543.4	NA				
1988-10-31	1590.8	NA				
1988-11-30	1428	NA				
1988-12-30	1435.4	NA				
1989-01-31	1490.5	NA				
1989-02-28	1450.1	NA				
1989-03-31	1527.7	NA				
1989-04-28	1576.9	NA				
1989-05-31	1519.8	NA				
1989-06-30	1638.9	NA				
1989-07-31	1795.4	NA				
1989-08-31	1880.1	NA				
1989-09-29	1796.8	NA				
1989-10-31	1695.5	NA				
1989-11-30	1779.1	NA				
1989-12-29	1778.1	NA				
1990-01-31	1715.9	NA				
1990-02-28	1692.3	NA				
1990-03-30	1642.8	NA				
1990-04-30	1561.6	NA				
1990-05-31	1779.8	NA				
1990-06-29	1808.3	NA				
1990-07-31	1762.2	NA				
1990-08-31	1530.6	NA				
1990-09-28	1351	NA				
1990-10-31	1417.9	NA				
1990-11-30	1384.9	NA				
1990-12-31	1389.3	NA				
1991-01-31	1434.3	NA				
1991-02-28	1578.7	NA				
1991-03-29	1649.4	NA				
1991-04-30	1659.5	NA				
1991-05-31	1740.8	NA				
1991-06-28	1664.3	NA				
1991-07-31	1727.2	NA				
1991-08-30	1736.6	NA				
1991-09-30	1664.7	NA				
1991-10-31	1683.9	NA				
1991-11-29	1622.6	NA				
1991-12-31	1670.1	NA				
1992-01-31	1753.5	NA				
1992-02-28	1840.6	NA				
1992-03-31	1837.2	NA				
1992-04-30	1880.1	NA				
1992-05-29	1920.6	NA				
1992-06-30	1854.8	NA				
1992-07-31	1798.1	NA				
1992-08-31	1751.7	NA				
1992-09-30	1878.3	NA				
1992-10-30	1911.1	NA				
1992-11-30	1931.2	NA				
1992-12-31	2105.4	NA				
1993-01-29	2091	NA				
1993-02-26	2100.6	NA				
1993-03-31	2190.3	NA				
1993-04-30	2129.7	2369				
1993-05-31	2271.6	2547.5				
1993-06-30	2376.2	2689.2				
1993-07-30	2400.9	2716.6				
1993-08-31	2488.5	2817.7				
1993-09-30	2472.9	2798.3				
1993-10-29	2722.4	3081.3				
1993-11-30	2738.6	3098.6				
1993-12-31	2956.7	3347				
1994-01-31	3178.1	3596.9				
1994-02-28	2915.9	3268.5				
1994-03-31	2795.4	3164.5				
1994-04-29	2738.4	3110.9				
1994-05-31	2722.6	3123.7				
1994-06-30	2609	3035.1				
1994-07-29	2579.3	2976.4				
1994-08-31	2645.3	3052.6				
1994-09-30	2534.4	2924.3				
1994-10-31	2508.5	2892.1				
1994-11-30	2594.2	2995.7				
1994-12-30	2629.3	3034.8				
1995-01-31	2536.5	2928.7				
1995-02-28	2600	3002.1				
1995-03-31	2508	2896.4				
1995-04-28	2597.2	3007.8				
1995-05-31	2785.6	3251				
1995-06-30	2825.3	3328.1				
1995-07-31	2827	3329.9				
1995-08-31	2909.6	3426.5				
1995-09-29	3013.9	3551.4				
1995-10-31	3108.1	3661.4				
1995-11-30	3251.2	3830.3				
1995-12-29	3299.2	3887.2				
1996-01-31	3248.7	3829.4				
1996-02-29	3354.8	3954.5				
1996-03-29	3646.5	4298.4				
1996-04-30	3651	4328.9				
1996-05-31	3556.1	4227				
1996-06-28	3732.9	4475.8				
1996-07-31	3494.4	4190.5				
