Date	ABB	Actelion	Adecco	Alusuisse	Baloise	Ciba_SC	Ciba_Geigy_I	Ciba_Geigy_PS	Clariant	Compagnie_Financiere_Richemont	Credit_Suisse_Group	Credit_Suisse_Holding	Elektrowatt	EMS_Chemie_Holding	Geberit	Georg_Fischer	Givaudan	Holcim	Jacobs_Suchard	Julius_Baer_Group	Kudelski	LafargeHolcim	Lonza_Group	Merck_Serono	Nestle_I	Nestle_PS	Nobel_Biocare_Holding	Novartis_I	Novartis_N	OC_Oerlikon_Corporation	Pargesa_Holding	Roche_Holding	SAirGroup	Sandoz_PS	Sandoz_N	Schweizerische_Volksbank_StN	Schweizerische_Volksbank_ST	SGS	Sika	Societe_Internationale_Pirelli	Sulzer	Swiss_Bank_I	Swiss_Bank_PS	Swiss_Bank_N	Swiss_Life_Holding_I	Swiss_Life_Holding_N	Swiss_Re	Swissair	Swisscom	Syngenta	Synthes	The_Swatch_Group_I	The_Swatch_Group_N	Transocean	UBS_N	UBS_PS	UBS_I	Winterthur	Zurich_Insurance_Group_I	Zurich_Insurance_Group_N
1994-04-29	0.552840396	NA	NA	0.781043272	NA	NA	0.964503208	1.03851652	NA	NA	NA	1.296591021	0.586997415	NA	NA	NA	NA	0.852449045	NA	NA	NA	NA	NA	NA	NA	0.896930288	NA	NA	NA	NA	NA	0.937771714	NA	0.937820024	0.881150282	NA	NA	NA	NA	NA	NA	1.280133063	NA	1.25904351	NA	NA	1.042074148	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.027418202	1.05856143	0.924519594	NA
1994-05-02	0.559488468	NA	NA	0.784818871	NA	NA	0.976782254	1.049150923	NA	NA	NA	1.420899206	0.594443333	NA	NA	NA	NA	0.846952616	NA	NA	NA	NA	NA	NA	NA	0.907371814	NA	NA	NA	NA	NA	0.932182866	NA	NA	0.880685401	NA	NA	NA	NA	NA	NA	1.290139554	NA	1.270190001	NA	NA	1.048722606	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.029437418	1.060253028	0.935490268	NA
1994-05-03	0.556313688	NA	NA	0.782179386	NA	NA	0.977397715	1.047753786	NA	NA	NA	1.382536523	0.5949506	NA	NA	NA	NA	0.850149666	NA	NA	NA	NA	NA	NA	NA	0.907427754	NA	NA	NA	NA	NA	0.933245707	NA	NA	0.879924548	NA	NA	NA	NA	NA	NA	1.294688388	NA	1.272852514	NA	NA	1.049763776	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.034450657	1.06204277	0.935289851	NA
1994-05-04	0.544470928	NA	NA	0.783600599	NA	NA	0.962210003	1.0417366	NA	NA	NA	1.320275692	0.599276729	NA	NA	NA	NA	0.851381946	NA	NA	NA	NA	NA	NA	NA	0.907535128	NA	NA	NA	NA	NA	0.928153383	NA	NA	0.877757975	NA	NA	NA	NA	NA	NA	1.293410932	NA	1.275479538	NA	NA	1.065660699	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03975722	1.072726531	0.953900239	NA
1994-05-05	0.54190311	NA	NA	0.790045803	NA	NA	0.966005271	1.042880237	NA	NA	NA	1.323211989	0.602617986	NA	NA	NA	NA	0.85250914	NA	NA	NA	NA	NA	NA	NA	0.90859078	NA	NA	NA	NA	NA	0.930405582	NA	NA	0.877498278	NA	NA	NA	NA	NA	NA	1.291241832	NA	1.277397052	NA	NA	1.064398332	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.044327126	1.067377192	0.952335621	NA
1994-05-06	0.540147413	NA	NA	0.789165311	NA	NA	0.970152475	1.044096616	NA	NA	NA	1.360739717	0.595378796	NA	NA	NA	NA	0.859617592	NA	NA	NA	NA	NA	NA	NA	0.905459531	NA	NA	NA	NA	NA	0.927423528	NA	NA	0.874488752	NA	NA	NA	NA	NA	NA	1.286946491	NA	1.259225976	NA	NA	1.071918149	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.047232468	1.056696549	0.94177821	NA
1994-05-09	0.576946935	NA	NA	0.798197877	NA	NA	0.948943003	1.035726924	NA	NA	NA	1.437283743	0.582545133	NA	NA	NA	NA	0.862980385	NA	NA	NA	NA	NA	NA	NA	0.925203053	NA	NA	NA	NA	NA	0.922482348	NA	NA	0.873328769	NA	NA	NA	NA	NA	NA	1.265619323	NA	1.237513213	NA	NA	1.053604	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.037966619	1.04526081	0.935290203	NA
1994-05-10	0.579420793	NA	NA	0.803298634	NA	NA	0.971566488	1.055096397	NA	NA	NA	1.51131648	0.56588608	NA	NA	NA	NA	0.830600504	NA	NA	NA	NA	NA	NA	NA	0.927075814	NA	NA	NA	NA	NA	0.897574614	NA	NA	0.863063887	NA	NA	NA	NA	NA	NA	1.274936642	NA	1.236721157	NA	NA	1.044405574	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.040615553	1.041478263	0.913099238	NA
1994-05-11	0.579553286	NA	NA	0.802942569	NA	NA	0.970323531	1.051559187	NA	NA	NA	1.506312387	0.558725969	NA	NA	NA	NA	0.825335814	NA	NA	NA	NA	NA	NA	NA	0.92867009	NA	NA	NA	NA	NA	0.895809726	NA	NA	0.860611993	NA	NA	NA	NA	NA	NA	1.269379157	NA	1.231665488	NA	NA	1.039002516	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.039502127	1.033359268	0.907524773	NA
1994-05-12	0.574727599	NA	NA	0.80590354	NA	NA	0.971799511	1.053222124	NA	NA	NA	1.52098649	0.559679293	NA	NA	NA	NA	0.822459496	NA	NA	NA	NA	NA	NA	NA	0.926280602	NA	NA	NA	NA	NA	0.894752803	NA	NA	0.856101542	NA	NA	NA	NA	NA	NA	1.268126605	NA	1.229624507	NA	NA	1.040554926	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.039826716	1.028863379	0.902936959	NA
