Date	ABB	Actelion	Adecco	Compagnie_Financiere_Richemont	Credit_Suisse_Group	Geberit	Givaudan	Julius_Baer_Group	LafargeHolcim	Nestle_PS	Novartis_N	Roche_Holding	SGS	Swiss_Re	Swisscom	Syngenta	The_Swatch_Group_I	UBS_N	Zurich_Insurance_Group_N
29.06.2012	15.45	37.81	41.48	51.85	15.683	186.7	929.5	33.47	49.857	56.55	52.9	163.6	1775	59.55	381.2	323.3	373.5	11.05	213.5
31.07.2012	17.08	43.39	42.468	55.45	15.252	192	950.5	34.192	54.952	60.05	57.3	173.3	1956	61.35	391.4	333.7	388.7	10.29	217.7
31.08.2012	16.61	43.85	42.764	58.55	16.882	201.3	901	30.646	55.762	59.35	56.25	173.8	1926	59.85	383.4	321.9	390.8	10.68	229.5
28.09.2012	17.64	45.76	44.206	56.4	18.246	204.5	892.5	32.043	57.048	59.3	57.55	175.7	1932	60.45	378	351.5	375.2	11.45	234.2
31.10.2012	16.78	43.66	44.482	60.4	19.766	192	932	32.3	60.524	59.1	56.05	179.1	1972	64.35	386.9	363.8	385.4	13.96	229.5
30.11.2012	18.06	44.61	45.223	71.45	20.086	195.8	930.5	31.74	60.476	60.65	57.35	182.4	2079	66.75	390.2	371.5	447.6	14.5	236.5
31.12.2012	18.75	42.31	47.445	71.4	20.379	201.4	963	32.33	63.714	59.6	57.45	184	2026	65.9	393.8	366.6	461.2	14.27	243.4
31.01.2013	19.52	43.83	51.653	74.85	24.627	212.8	1012	37.25	67.476	63.9	62	201.4	2168	67.75	403.5	392.9	499.4	15.78	261.8
28.02.2013	21.41	47	52.788	75.35	22.988	226.6	1120	35.52	72.143	65.5	63.65	214.7	2382	74.95	426.4	398.1	533	14.83	256.5
29.03.2013	21.41	50.1	51.356	74.5	22.805	233.7	1166	36.91	72.048	68.65	67.45	221	2328	77.2	439.2	396	552	14.55	264.2
30.04.2013	21.05	55.25	49.114	75.1	24.177	227.1	1196	37.04	69	66.4	69.05	232.4	2247	73.95	437.8	397.4	532.5	16.6	259.6
31.05.2013	21.17	55.64	53.134	85.85	26.963	239.2	1239	38	71.143	63.45	69	239.1	2162	70.65	409.2	376	552	17.01	254.2
28.06.2013	20.51	55.3	53.183	83.55	23.493	234.3	1219	36.89	62.714	61.95	67.1	235	2029	70.3	413.6	369.6	517	16.08	245
31.07.2013	20.44	59.77	58.023	90.6	25.5	248.1	1289	42.04	63.714	62.7	66.6	228	2095	73.7	413.5	367.3	550	18.23	249.1
30.08.2013	19.9	61.47	57.875	88.4	25.153	226.4	1253	41	60.143	61.05	67.85	232.1	2119	71.4	421.6	364.8	536	18.02	231.6
30.09.2013	21.39	62.39	63.603	90.6	25.903	244.2	1321	42.2	64.095	63.25	69.5	243.9	2159	74.8	434.6	369.4	582	18.5	232.9
31.10.2013	23.17	68.27	66.121	93.05	26.475	271.3	1288	44.59	64.381	65.5	70.45	251.2	2126	79.7	463.1	366.5	580.5	17.56	250.9
29.11.2013	23.19	73.38	68.936	92.1	25.303	266.3	1279	42.48	62.619	66.2	71.65	252.7	2043	80.65	463.2	356	594	17.28	252.9
31.12.2013	23.48	73.23	69.726	88.8	25.575	270.5	1274	42.84	63.571	65.3	71.2	249.2	2052	82.05	470.9	355.2	589.5	16.92	258.5
31.01.2014	22.62	82.8	70.467	84.15	25.697	263.2	1342	44.05	62.857	65.8	71.8	249.3	2053	78.4	498.7	321.1	540.5	17.99	263.3
28.02.2014	22.49	90.63	75.01	87.6	25.978	276.6	1380	41.22	68	66.6	73.45	271.4	2179	82.2	521	320	587	18.87	269.5
31.03.2014	22.8	81.35	72.639	84.4	26.813	289.5	1367	39.23	69.714	66.55	75	265	2179	81.95	543	334.3	554	18.26	271.4
30.04.2014	21.14	84.02	72.639	89.3	26.175	293.3	1387	41.15	76.762	67.95	76.3	258	2195	76.85	535	348.6	564.5	18.4	252.1
30.05.2014	21.27	86.5	73.825	94.35	24.965	296.5	1468	38.76	74.809	70.25	80.3	263.5	2245	79.65	533.5	344.5	528.5	17.98	268.7
30.06.2014	20.42	109.04	72.096	93.05	23.783	311.3	1479	36.56	74.238	68.7	80.3	264.5	2125	78.9	515.5	330.3	535.5	16.27	267.3
31.07.2014	20.98	106.81	67.356	86.65	23.202	305.6	1491	38.75	69.429	67.55	79.55	264.7	1987	77.45	505	324.6	486.9	15.67	264.7
29.08.2014	20.83	109.53	68.64	87.55	24.271	311.5	1524	41.73	69.524	71.25	82.35	267.7	2037	75.25	533	329.5	497.8	16.46	277
30.09.2014	21.48	109.14	64.047	78.35	24.824	308.8	1528	42.85	66.333	70.25	90.15	283.1	1981	76.15	542.5	304.3	454.1	16.66	284.8
31.10.2014	21.06	111.18	64.245	80.95	23.99	327.8	1603	42.08	64.905	70.4	89.3	283.7	2112	77.7	566.5	297.8	455.6	16.7	290.8
28.11.2014	21.69	111.67	67.01	90.85	24.215	336.6	1722	43.78	67.952	72.55	93.5	289.4	2090	82.6	586.5	318.3	477.5	17.35	302.8
31.12.2014	21.14	112.06	67.998	88.8	23.521	338.4	1793	45.81	67.952	72.95	92.35	269.9	2045	83.65	522.5	320	444.2	17.09	311.7
30.01.2015	17.71	99.13	68.047	76.55	18.241	315.2	1681	37.6	61.381	70.45	90.15	248.6	1750	83.1	539.5	299.2	366.9	15.39	305.4
27.02.2015	20.45	110.89	74.071	84	21.823	339.6	1831	44.01	70.048	74.4	97.45	258.8	1929	87.65	546.5	335.8	434.5	16.75	304.8
31.03.2015	20.63	109.43	79.997	78.3	24.552	365	1762	48.76	69.19	73.4	96.15	268.1	1860	94.1	564.5	330.7	412.1	18.32	329.3
30.04.2015	20.58	120.51	75.75	83.65	23.258	333.3	1762	49.38	72	72.9	96.65	269.4	1820	83.1	557	314.4	420.4	18.86	289.6
29.05.2015	20.56	127.7	73.775	81.2	23.361	338	1722	51.3	70.619	72.9	96.5	276.2	1806	84.4	544.5	425.5	373.2	20.22	299.9
30.06.2015	19.58	132.95	74.96	76.05	24.102	311.7	1618	52.45	65.714	67.5	92.15	262	1706	82.75	524	380	364.1	19.83	284.6
31.07.2015	19.63	138.88	79.652	83.4	26.71	334.5	1800	53.45	64.095	73.2	100.4	279.1	1845	87	562	398	416.1	22.25	294.3
31.08.2015	18.67	128.29	75.01	72.35	24.337	307.3	1665	47.07	58.571	71.3	94.7	264	1706	83.05	522.5	335	370.3	20.03	265.7
30.09.2015	17.22	120.22	70.368	75.7	21.964	297.7	1585	44.22	51.05	73.25	89.4	257	1700	83.6	486.2	312.1	361	18.01	239.2
30.10.2015	18.66	133.53	72.689	84.8	23.146	319.3	1770	49.12	55.75	75.6	89.85	268.3	1884	91.9	510	332.8	386.9	19.78	261.3
30.11.2015	19.51	140.44	69.528	77	21.344	344.1	1857	49.24	55	76.35	87.95	275.5	1968	98.05	507	379.3	361.8	19.75	270.9
31.12.2015	17.96	135.67	68.047	72.1	20.929	340.2	1823	48.66	50.3	74.55	86.8	276.4	1911	98.15	503	392.3	350.2	19.52	258.4
29.01.2016	17.57	130.33	61.726	66.25	17.369	361.8	1907	43.25	42.92	75.2	78.5	263.9	1983	94.8	507.5	375.9	348.4	16.83	225.8
29.02.2016	17.9	135.48	57.529	63.8	12.969	361.3	1875	40.06	39.57	70.1	71.65	257	2018	88.85	489.2	401.7	347.5	15.34	212.5
