Date	SMI
29.06.2012	6066.86
31.07.2012	6399.27
31.08.2012	6388.01
28.09.2012	6495.88
31.10.2012	6595.13
30.11.2012	6820.6
31.12.2012	6822.44
31.01.2013	7390.86
28.02.2013	7593.67
29.03.2013	7813.67
30.04.2013	7906.21
31.05.2013	7947.01
28.06.2013	7683.04
31.07.2013	7820.43
30.08.2013	7745.97
30.09.2013	8022.6
31.10.2013	8234.29
29.11.2013	8264.2
31.12.2013	8202.98
31.01.2014	8191.33
28.02.2014	8475.33
31.03.2014	8453.82
30.04.2014	8476.66
30.05.2014	8674.52
30.06.2014	8554.52
31.07.2014	8410.27
29.08.2014	8658.97
30.09.2014	8835.14
31.10.2014	8837.78
28.11.2014	9150.46
31.12.2014	8983.37
30.01.2015	8385.13
27.02.2015	9014.53
31.03.2015	9128.98
30.04.2015	9077.12
29.05.2015	9237.79
30.06.2015	8780.91
31.07.2015	9428.17
31.08.2015	8824.56
30.09.2015	8513.41
30.10.2015	8938.65
30.11.2015	8993.1
31.12.2015	8818.09
29.01.2016	8319.81
29.02.2016	7843.63
31.03.2016	7807.89
29.04.2016	7960.85
31.05.2016	8216.42
30.06.2016	8020.15
29.07.2016	8127.2
31.08.2016	8202.13
30.09.2016	8139.01
31.10.2016	7827.74
30.11.2016	7875.19
30.12.2016	8219.87
31.01.2017	8291.69
28.02.2017	8545.81
31.03.2017	8658.89
28.04.2017	8812.67
