Date	SWISS CONFEDERATION BOND 1 YEAR - RED. YIELD
31.07.2012	0.038
31.08.2012	0.025
28.09.2012	0.124
31.10.2012	0.146
30.11.2012	0.117
31.12.2012	0.059
31.01.2013	0.14
28.02.2013	0.137
29.03.2013	0.119
30.04.2013	0.079
31.05.2013	0.078298
28.06.2013	0.072657
31.07.2013	0.076493
30.08.2013	0.096035
30.09.2013	0.096198
31.10.2013	0.100853
29.11.2013	0.063789
31.12.2013	0.045199
31.01.2014	0.043563
28.02.2014	0.04947
31.03.2014	0.085116
30.04.2014	0.103889
30.05.2014	0.069728
30.06.2014	0.091873
31.07.2014	0.109106
29.08.2014	0.078106
30.09.2014	0.056463
31.10.2014	0.036141
28.11.2014	-0.021857
31.12.2014	-0.09425
30.01.2015	-0.693855
27.02.2015	-0.853108
31.03.2015	-0.742702
30.04.2015	-0.829395
29.05.2015	-0.838924
30.06.2015	-0.900651
31.07.2015	-0.819203
31.08.2015	-0.783663
30.09.2015	-0.820848
30.10.2015	-0.865844
30.11.2015	-0.979268
31.12.2015	-0.814827
29.01.2016	-0.85791
29.02.2016	-0.957872
31.03.2016	-0.857188
29.04.2016	-0.654478
31.05.2016	-0.655391
30.06.2016	-0.773646
29.07.2016	-0.710088
31.08.2016	-0.700694
30.09.2016	-0.74158
31.10.2016	-0.615948
30.11.2016	-0.65332
30.12.2016	-0.634569
31.01.2017	-0.651009
28.02.2017	-0.668591
31.03.2017	-0.629247
28.04.2017	-0.637405
