Date	RMRFEU	SMBEU	HMLEU	WMLEU	RMRFNA	SMBNA	HMLNA	WMLNA	RMRFJAP	SMBJAP	HMLJAP	WMLJAP
01.01.1991	1.51	-4.14	-0.03	-1.25	4.27	2.4	-0.05	-2.63	1.19	-7.56	0.24	0.46
01.02.1991	7.3	1.15	0.66	-7.5	7.18	4.24	-0.84	-2.21	12.29	11.15	0.8	-15.23
01.03.1991	-6.7	2.18	-0.27	0.23	2.44	4.34	-3	3.17	-4.21	3.63	0.4	1.45
01.04.1991	-0.87	-0.32	-0.59	1.56	-0.17	-0.05	1.25	-1.17	2.18	1.41	1.5	1.08
01.05.1991	0.49	-3.38	0.12	-0.64	3.59	-0.07	-0.01	0.5	-2.03	-0.79	0.4	2.27
01.06.1991	-7.41	0.61	-0.69	0.54	-4.71	0.75	0.57	0.01	-7.09	1.17	3.57	3.08
01.07.1991	5.3	-3.23	-0.35	5.06	3.99	-0.78	-2.54	4.66	1.39	-3.51	1	0.57
01.08.1991	1.42	-0.93	-0.08	3.77	2.17	1.17	-1.66	2.81	-7.24	-4.95	-0.84	4.49
01.09.1991	3.02	1.73	-0.05	4.23	-1.7	1.85	-0.77	1.91	8.66	1.78	0.08	-3.07
01.10.1991	-2.62	-0.78	-1.3	3.07	1.45	0.96	-0.26	2.28	4.06	2.12	-3.42	1.32
01.11.1991	-2.27	0.55	-1.81	0.42	-4.16	-0.35	-2.18	0.67	-8.52	-2.3	-0.35	2.25
01.12.1991	6.3	-3.87	-2.1	1.93	10.03	-2.99	-5.33	8.3	2.5	1	-0.09	-0.27
01.01.1992	-0.52	-1.03	1.29	0.75	-0.68	8.16	3.84	-1.03	-5.67	-1.17	1.91	-1.3
01.02.1992	-0.44	-0.33	0.18	1.52	1	0.8	4.83	-0.48	-7.22	2.99	-0.7	0.6
01.03.1992	-3.74	0.33	0.29	0.57	-2.74	-1.58	4.23	-0.61	-11.45	-1.22	2.31	1.2
01.04.1992	5.02	-1.25	-0.07	1.88	1.12	-5.77	3.4	-2.8	-7.7	-3.98	5.45	-0.88
01.05.1992	5.09	0.19	1.4	1.07	0.32	-0.26	0.95	0.57	8.73	5.15	-2.41	-0.54
01.06.1992	-1.17	0.49	-0.85	3.42	-2.16	-2.85	2.87	-0.56	-9.05	-0.06	2.49	6.06
01.07.1992	-4.1	-1.23	-1.37	2.63	3.66	-0.91	-0.79	1.24	-3.27	-5.69	-1.12	-2.67
01.08.1992	-0.8	-1.39	-0.51	3.93	-2.32	-0.38	-0.24	-1	16.37	-5.09	-6.59	-10.37
01.09.1992	-2.99	-3.51	-1.82	4.13	0.72	0.44	-0.96	2.58	-2.86	3.61	-0.14	1.98
01.10.1992	-7.71	-2.52	1.2	-3.21	0.97	2.35	-3.12	2.3	-5.39	-1.76	1.18	3.85
01.11.1992	-0.65	-2.67	-0.13	-0.31	3.51	3.62	-2.89	1.88	1.85	-3.21	-1.4	-1.49
01.12.1992	1.22	0.02	-1.17	1.17	1.55	1.58	2.07	3.55	-1.03	2.1	2.33	-0.43
01.01.1993	0.63	3.28	2.95	-1.36	0.75	2.01	5.17	4.97	-0.87	-1.67	0.28	0.54
01.02.1993	1.11	-0.79	1.74	-1.36	0.45	-3.61	7.22	2.71	4.35	2.09	-0.16	-0.04
01.03.1993	5.43	1.43	0.86	2.89	2.34	0.6	1.98	4.14	15.84	0.26	3.7	-10.11
01.04.1993	1.92	3.46	1.93	-1.98	-2.6	-0.37	2.99	-0.29	16.68	1.07	3.81	-3.59
01.05.1993	0.91	0.29	1.5	1.02	2.81	2.04	-2.8	0.97	4.96	12.26	-1.83	0.66
01.06.1993	-3.23	-1.58	1.53	1.83	0.27	0.46	1.99	4.85	-4.19	-2.64	-2.67	0.36
01.07.1993	1.03	-1.1	3	0.42	-0.37	0.9	2.55	2.45	6.71	-4.79	0.36	1.34
01.08.1993	8.61	0.53	2.31	-1.31	3.58	0.48	0.17	2.34	2.15	-0.51	0.32	1.36
01.09.1993	-0.64	1.01	0.04	1.91	-0.36	2.53	0.34	3.03	-5.2	0.87	-0.65	-1.43
01.10.1993	2.46	-1.96	0.76	1.76	1.7	1.94	-2.98	-1.51	-2.56	-7.67	0.19	0.92
01.11.1993	-2.31	0.86	-1.59	-0.83	-1.86	-1.41	-0.59	-4.39	-16.22	-1.54	-0.37	-3.42
01.12.1993	7.16	-2.61	2.61	1.09	1.68	0.91	1.02	2.46	2	-0.92	2.81	2.6
01.01.1994	5.89	5.53	4.34	2.25	2.93	-0.21	1.87	1.26	16.87	1.2	3.59	0.19
01.02.1994	-3.46	4	1.01	-0.93	-2.62	2.01	-0.72	-0.59	3.88	0.93	2.46	2.8
01.03.1994	-2.8	0.97	1.79	-2.5	-4.64	-0.83	1.76	-1.4	-2.23	5.55	2.01	-1.46
01.04.1994	3.79	-0.74	1.48	-0.02	0.61	-1.16	1.68	-0.46	3.29	2.21	0	-0.95
01.05.1994	-4	1.89	0.53	-0.08	0.74	-2.32	1.23	-2.1	1.23	-2.03	2.78	-1.5
01.06.1994	-1.16	-0.22	-1	-1.02	-3.15	-0.87	2.18	-1.27	6.02	4.56	3.85	1.13
01.07.1994	4.66	-3.05	1.06	0.3	2.82	-1.75	0.49	-0.11	-4.11	0.97	-0.59	-1.19
01.08.1994	1.9	-0.46	-2.62	-0.55	4.02	0.55	-2.57	1.51	-0.29	-2.25	0.6	0.24
01.09.1994	-3.58	2.64	0.31	1.15	-2.07	2.82	-1.07	1.32	-3.22	-1.74	0.59	0.63
01.10.1994	3.59	-3.02	-0.33	0.28	1.17	-1.68	-1.52	1.06	2.2	-0.68	0.95	2.91
01.11.1994	-4.54	-0.41	0.45	-1.18	-4.09	-0.11	-1.16	-0.38	-6.55	-1.94	-0.09	-0.63
01.12.1994	0.02	0.29	-0.58	0.88	0.89	-0.4	-0.23	3.18	1.61	0.53	-0.41	0.06
01.01.1995	-1.55	1.51	0.96	2.2	1.39	-2.38	1.51	-1.18	-6.85	2.01	-2.21	-7.15
01.02.1995	1.97	-0.9	-0.76	1.61	3.63	-0.71	0.63	-0.46	-5.61	-0.9	0.08	2.84
01.03.1995	3.45	-1.61	-2.47	-0.23	2.25	-0.14	-1.6	0.23	8.6	-3.45	1.23	-1.27
01.04.1995	2.56	-1.67	0.4	0	2.13	-0.23	1.46	1.89	3.67	-2.04	-1.83	1.29
01.05.1995	1.76	-0.28	0.46	-0.61	2.94	-1.89	1.2	-0.33	-6.79	-2.61	-0.67	2.17
01.06.1995	1	-0.06	-0.63	3.4	2.5	3.41	-2.9	3.87	-4.6	-1.67	1.93	0.52
01.07.1995	3.99	-1.4	-1.03	0.97	3.6	2.37	-2.39	3.01	5.9	0.11	-2.44	-5.73
01.08.1995	-4.05	1.21	-2.29	1.89	0.49	1.36	2.17	0.11	-3.08	3.1	-0.53	-4.63
01.09.1995	2.37	-0.48	-1.93	5.82	3.19	-1.48	-0.92	2.14	-1.6	-1.8	-1.94	1.73
01.10.1995	-0.71	-0.89	-0.29	4.58	-1.58	-4.09	-0.51	2.92	-4.32	1.86	-0.66	2.08
01.11.1995	-0.32	-3.27	0.78	2.15	3.93	-0.54	0.01	-0.55	4.09	0.74	0.45	-1.36
01.12.1995	1.84	-1.18	1.03	-0.34	1.01	0.53	-0.52	1.32	4.35	1.78	2.57	-6.15
01.01.1996	0.44	0.09	0.12	-0.73	2.45	-2.49	0	0.9	-1.67	3.14	2.04	-1.99
01.02.1996	1.88	1.41	0.21	1.76	1.25	2.19	-1.92	1.59	-1.84	-0.34	-0.3	-1.72
01.03.1996	0.89	0.27	0.51	2.6	0.83	1.28	0.85	-1.39	2.6	-0.89	-0.96	0.04
01.04.1996	0.62	0.75	0.37	1.17	1.99	5.31	-3.07	0.26	6.38	5	1.25	-2.42
01.05.1996	1.5	1.78	-0.28	2.09	2.14	3.27	-1.33	2.02	-4.91	0.91	0.63	-1.11
01.06.1996	0.22	-0.63	0.33	1.29	-1.03	-4.45	2	-1.02	-0.03	-1.69	1.19	0.46
01.07.1996	-1.79	-0.39	0.97	-2	-5.8	-4.5	5.6	-1.45	-5.17	-1.24	1.03	-4.27
01.08.1996	2.26	-0.69	-1.49	2.63	2.87	2.44	-0.38	0.8	-4.72	0.67	-0.44	0.51
01.09.1996	1.17	-2.67	0.49	2.42	4.87	-1.39	-2.61	2.62	2.44	-4.78	0.43	-0.28
01.10.1996	1.55	1.01	-1.3	3.47	1.31	-3.62	5.33	2.47	-7.28	0.5	0.45	1.06
01.11.1996	4.08	-2.71	1.01	1.37	6.31	-4.33	2.34	-1.93	0.22	-5.03	1.37	1.19
